Month,Amount,Extract_month,Extract Year
1/1/1990,16.5,1,1990
2/1/1990,15.17,2,1990
3/1/1990,12.75,3,1990
4/1/1990,12.31,4,1990
5/1/1990,8.34,5,1990
6/1/1990,8.63,6,1990
7/1/1990,12.37,7,1990
8/1/1990,11.53,8,1990
9/1/1990,9.47,9,1990
10/1/1990,9.57,10,1990
11/1/1990,14.44,11,1990
12/1/1990,24.5,12,1990
1/1/1991,19.94,1,1991
2/1/1991,13.99,2,1991
3/1/1991,12.5,3,1991
4/1/1991,9.32,4,1991
5/1/1991,7.63,5,1991
6/1/1991,7.44,6,1991
7/1/1991,9.86,7,1991
8/1/1991,8.92,8,1991
9/1/1991,7.38,9,1991
10/1/1991,8.17,10,1991
11/1/1991,15.65,11,1991
12/1/1991,20.07,12,1991
1/1/1992,16.98,1,1992
2/1/1992,13.45,2,1992
3/1/1992,12.15,3,1992
4/1/1992,12.29,4,1992
5/1/1992,7.42,5,1992
6/1/1992,6.83,6,1992
7/1/1992,10.96,7,1992
8/1/1992,9.09,8,1992
9/1/1992,8.51,9,1992
10/1/1992,8.49,10,1992
11/1/1992,14.83,11,1992
12/1/1992,21.15,12,1992
1/1/1993,15.21,1,1993
2/1/1993,14.75,2,1993
3/1/1993,11.81,3,1993
4/1/1993,14.11,4,1993
5/1/1993,7.42,5,1993
6/1/1993,9.61,6,1993
7/1/1993,9.76,7,1993
8/1/1993,8.78,8,1993
9/1/1993,6.63,9,1993
10/1/1993,8.88,10,1993
11/1/1993,14.92,11,1993
12/1/1993,21.17,12,1993
1/1/1994,19.74,1,1994
2/1/1994,15.47,2,1994
3/1/1994,11.39,3,1994
4/1/1994,10.51,4,1994
5/1/1994,7.73,5,1994
6/1/1994,9.2,6,1994
7/1/1994,10.53,7,1994
8/1/1994,9.06,8,1994
9/1/1994,6.65,9,1994
10/1/1994,7.8,10,1994
11/1/1994,12.49,11,1994
12/1/1994,18.39,12,1994
1/1/1995,14.74,1,1995
2/1/1995,13.23,2,1995
3/1/1995,9.91,3,1995
4/1/1995,10.38,4,1995
5/1/1995,6.73,5,1995
6/1/1995,6.75,6,1995
7/1/1995,9.16,7,1995
8/1/1995,9.21,8,1995
9/1/1995,6.19,9,1995
10/1/1995,7.85,10,1995
11/1/1995,16.64,11,1995
12/1/1995,23.84,12,1995
1/1/1996,16.05,1,1996
2/1/1996,13.31,2,1996
3/1/1996,12.11,3,1996
4/1/1996,11.42,4,1996
5/1/1996,8.77,5,1996
6/1/1996,7.45,6,1996
7/1/1996,10.19,7,1996
8/1/1996,9.76,8,1996
9/1/1996,7.7,9,1996
10/1/1996,7.86,10,1996
11/1/1996,15.27,11,1996
12/1/1996,18.33,12,1996
1/1/1997,18.61,1,1997
2/1/1997,13.53,2,1997
3/1/1997,11.47,3,1997
4/1/1997,12.94,4,1997
5/1/1997,8.53,5,1997
6/1/1997,7.61,6,1997
7/1/1997,11.28,7,1997
8/1/1997,9.68,8,1997
9/1/1997,8.12,9,1997
10/1/1997,8.67,10,1997
11/1/1997,14.79,11,1997
12/1/1997,20.15,12,1997
1/1/1998,16.56,1,1998
2/1/1998,13.53,2,1998
3/1/1998,13.53,3,1998
4/1/1998,11.58,4,1998
5/1/1998,8.03,5,1998
6/1/1998,9.46,6,1998
7/1/1998,10.75,7,1998
8/1/1998,10.28,8,1998
9/1/1998,8.04,9,1998
10/1/1998,12.27,10,1998
11/1/1998,14.02,11,1998
12/1/1998,17.52,12,1998
1/1/1999,16,1,1999
2/1/1999,11.99,2,1999
3/1/1999,6.96,3,1999
4/1/1999,10.02,4,1999
5/1/1999,6.14,5,1999
6/1/1999,7.15,6,1999
7/1/1999,9.72,7,1999
8/1/1999,7.85,8,1999
9/1/1999,5.73,9,1999
10/1/1999,7.27,10,1999
11/1/1999,10.13,11,1999
12/1/1999,17.54,12,1999
1/1/2000,15.04,1,2000
2/1/2000,11.21,2,2000
3/1/2000,8.7,3,2000
4/1/2000,9.92,4,2000
5/1/2000,6.65,5,2000
6/1/2000,6.73,6,2000
7/1/2000,8.12,7,2000
8/1/2000,8.31,8,2000
9/1/2000,6.87,9,2000
10/1/2000,5.45,10,2000
11/1/2000,11.29,11,2000
12/1/2000,18.21,12,2000
